edge_count,pentagons,triangles,squares,circles,halfcircles,blob_count,color_count,class
175,8,7,65,4,30,19,1,ORPHISM
990,24,32,371,30,147,103,1,Expressionism
378,17,19,148,24,95,47,2,ActionPainting
195,5,18,112,9,71,34,2,ORPHISM
1472,2,1,194,1,4,0,1,Op-Art
439,13,20,446,14,85,96,3,ActionPainting
355,6,3,406,14,117,53,3,Cubism
52,0,4,19,1,7,20,1,ActionPainting
106,3,4,96,1,20,18,3,ActionPainting
556,56,82,953,67,302,32,2,Colour-Field-Painting
89,5,1,32,3,19,4,3,Hard-Edge-Art
1076,0,0,0,0,0,0,1,Op-Art
112,0,1,0,0,2,1,1,Minimalism-Art
356,10,8,238,9,70,27,1,Colour-Field-Painting
444,23,32,192,19,116,126,2,Surreal-Surrealism
425,13,8,478,17,111,48,4,Cubism
375,21,6,353,22,113,74,2,Cubism
809,6,5,178,26,170,26,2,ORPHISM
2470,88,116,2430,146,919,403,1,Post-impressionism
38,21,33,201,27,115,2,1,Colour-Field-Painting
353,22,20,170,12,80,23,2,Colour-Field-Painting
423,21,16,319,21,260,76,2,Post-impressionism
756,32,39,986,52,227,94,2,Minimalism-Art
70,0,0,23,2,13,1,1,Colour-Field-Painting
470,23,41,386,27,137,132,2,Expressionism
1177,47,83,1865,51,224,196,2,Cubism
1414,48,77,1806,66,470,225,2,Expressionism
100,1,0,0,0,1,3,2,Hard-Edge-Art
36,2,0,186,1,11,57,1,ActionPainting
266,13,12,208,19,101,56,2,Colour-Field-Painting
1754,67,103,1090,81,391,195,1,Cubism
273,9,4,490,17,86,45,1,Colour-Field-Painting
1871,66,88,1074,79,402,236,2,Surreal-Surrealism
1800,153,195,5294,128,545,165,3,Hard-Edge-Art
82,3,2,6,0,2,26,1,Minimalism-Art
544,18,33,553,23,176,52,1,Post-impressionism
71,3,11,75,1,14,11,1,Colour-Field-Painting
345,14,6,683,20,103,28,2,Post-impressionism
226,0,0,88,10,34,3,1,Colour-Field-Painting
983,18,28,225,27,130,125,4,Cubism
452,4,0,31,3,13,77,1,Op-Art
5612,0,4,372,0,79,142,1,Op-Art
158,4,8,187,9,46,19,2,ActionPainting
204,5,4,118,4,42,21,1,Cubism
2195,68,46,1120,78,683,477,3,Post-impressionism
